"Accepted Symbol","Synonym Symbol","Scientific Name","State and Province","Category","Growth Habit","Image Gallery","Characteristics Data","Flower Color","Foliage Color","Foliage Texture","Fruit Color","Shape and Orientation"
"CALE11","","Carex leptonervia","USA (CT, IN, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV), CAN (LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)","Monocot","Graminoid","Photo","Yes","Green","Green","Medium","Brown","Semi-Erect"
"CALE24","","Carex leptopoda","USA (AZ, CA, CO, ID, MT, NM, NV, OR, WA, WY), CAN (AB, BC)","Monocot","Graminoid","","","","","","",""
"CALE12","","Carex leucodonta","USA (AZ)","Monocot","Graminoid","","","","","","",""
"CALI7","","Carex limosa","USA (AK, CA, CO, CT, DE, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA (SPM)","Monocot","Graminoid","Photo","Yes","Green","Green","Fine","Brown","Erect"
"CALI16","","Carex ×limula","USA (ME), CAN (LB, NU, QC), DEN (GL)","Monocot","Graminoid","","","","","","",""
"CALI","","Carex livida","USA (AK, CA, CO, CT, ID, IN, MA, ME, MI, MN, MT, NH, NJ, NY, OR, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)","Monocot","Graminoid","Photo","Yes","Green","Green","Fine","Brown","Erect"
"CALIR","","Carex livida var. radicaulis","USA (AK, CA, CO, CT, ID, MA, ME, MI, MN, MT, NH, NJ, NY, OR, VT, WA, WI, WY)","Monocot","Graminoid","","","","","","",""
"CALO4","","Carex loliacea","USA (AK), CAN (AB, BC, MB, NT, ON, SK, YT)","Monocot","Graminoid","","","","","","",""
"CALO9","","Carex lonchocarpa","USA (AL, DE, FL, GA, LA, MD, MS, NC, NJ, SC, TX, VA)","Monocot","Graminoid","","","","","","",""
"CALO5","","Carex longii","USA (AL, AR, CA, CT, DC, DE, FL, GA, HI, IL, IN, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WA, WI, WV), USA+ (PR), CAN (NS, ON)","Monocot","Graminoid","","","","","","",""
"CALO6","","Carex louisianica","USA (AL, AR, DC, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, OH, SC, TN, TX, VA)","Monocot","Graminoid","","","","","","",""
"CALU17","","Carex lucorum","USA (CT, DE, GA, IL, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV), CAN (NB, NS, ON, QC)","Monocot","Graminoid","","","","","","",""
"CALUA2","","Carex lucorum var. austrolucorum","USA (GA, KY, NC, SC, TN, VA, WV)","Monocot","Graminoid","","","","","","",""
"CALUL","","Carex lucorum var. lucorum","USA (CT, DE, IL, KY, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VT, WI), CAN (NB, NS, ON, QC)","Monocot","Graminoid","","","","","","",""
"CALU2","","Carex lugens","USA (AK), CAN (BC, NT, YT)","Monocot","Graminoid","","","","","","",""
"CALU3","","Carex lupuliformis","USA (AL, AR, CT, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NJ, NY, OH, PA, SC, TN, TX, VA, VT, WI, WV), CAN (ON, QC)","Monocot","Graminoid","Photo","","","","","",""
"CALU4","","Carex lupulina","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (NB, NS, ON, QC)","Monocot","Graminoid","Photo","Yes","Green","Green","Fine","Yellow","Erect"
"CALU5","","Carex lurida","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (LB, NB, NF, NS, ON, PE, QC)","Monocot","Graminoid","Photo","Yes","Green","Green","Fine","Yellow","Erect"
"CALU26","","Carex lutea","USA (NC)","Monocot","Graminoid","","","","","","",""
"CALU6","","Carex luzulifolia","USA (CA)","Monocot","Graminoid","","","","","","",""
"CALU7","","Carex luzulina","USA (CA, ID, MT, NV, OR, UT, WA, WY), CAN (BC)","Monocot","Graminoid","Photo","Yes","Green","Green","Fine","Brown","Erect"
"CALUA","","Carex luzulina var. ablata","USA (CA, ID, MT, NV, OR, UT, WA, WY), CAN (BC)","Monocot","Graminoid","Photo","","","","","",""
"CALUA3","","Carex luzulina var. atropurpurea","USA (ID, MT, WY)","Monocot","Graminoid","","","","","","",""
"CALUL2","","Carex luzulina var. luzulina","USA (CA, ID, OR, WA), CAN (BC)","Monocot","Graminoid","","","","","","",""
"CALY3","","Carex lyngbyei","USA (AK, CA, OR, WA), CAN (BC), DEN (GL)","Monocot","Graminoid","Photo","Yes","","Green","Fine","Brown","Erect"
"CAMA8","","Carex mackenziei","USA (AK, ME), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK), DEN (GL)","Monocot","Graminoid","","","","","","",""
"CAMA9","","Carex macloviana","USA (AK, ME, NM), CAN (AB, BC, LB, MB, NT, QC, SK, YT), DEN (GL)","Monocot","Graminoid","","","","","","",""
"CAMA10","","Carex macrocephala","USA (AK, NJ, OR, WA), CAN (BC)","Monocot","Graminoid","Photo","","","","","",""
"CAMAB2","","Carex macrocephala var. bracteata","USA (AK), CAN (BC)","Monocot","Graminoid","","","","","","",""
"CAMAM6","","Carex macrocephala var. macrocephala","USA (AK, OR, WA), CAN (BC)","Monocot","Graminoid","","","","","","",""
"CAMA11","","Carex macrochaeta","USA (AK, OR, WA), CAN (BC, NT, YT)","Monocot","Graminoid","","","","","","",""
"CAMA51","","Carex macrostachys","USA (NJ)","Monocot","Graminoid","","","","","","",""
"CAMA12","","Carex magellanica","USA (AK, CO, CT, ID, IN, MA, ME, MI, MN, MT, NH, NJ, NY, OH, PA, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","Monocot","Graminoid","","","","","","",""
"CAMAI2","","Carex magellanica ssp. irrigua","USA (AK, CO, CT, ID, IN, MA, ME, MI, MN, MT, NH, NJ, NY, OH, PA, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","Monocot","Graminoid","","","","","","",""
"CAMA33","","Carex manhartii","USA (GA, NC, SC, TN, VA)","Monocot","Graminoid","","","","","","",""
"CAMA34","","Carex marina","USA (AK), CAN (LB, MB, NT, NU, ON, QC, YT), DEN (GL)","Monocot","Graminoid","","","","","","",""
"CAMAM16","","Carex marina ssp. marina","USA (AK), CAN (LB, MB, NT, NU, ON, QC, YT), DEN (GL)","Monocot","Graminoid","","","","","","",""
"CAMA13","","Carex mariposana","USA (AZ, CA, ID, NV)","Monocot","Graminoid","Photo","Yes","Yellow","Green","Medium","Brown","Erect"
"CAMA14","","Carex maritima","USA (AK), CAN (AB, BC, LB, MB, NF, NT, NU, ON, QC, SK, YT), DEN (GL), FRA (SPM)","Monocot","Graminoid","","","","","","",""
"CAMC","","Carex mckittrickensis","USA (TX)","Monocot","Graminoid","","","","","","",""
"CAME2","","Carex meadii","USA (AL, AR, AZ, DE, GA, IA, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, NC, ND, NE, NJ, NY, OH, OK, PA, RI, SD, TN, TX, VA, WI, WV), CAN (MB, ON, SK)","Monocot","Graminoid","Photo","","","","","",""
"CAME10","","Carex melanostachya","USA (KS, NE)","Monocot","Graminoid","","","","","","",""
"CAME4","","Carex membranacea","USA (AK), CAN (BC, LB, NT, NU, QC, YT)","Monocot","Graminoid","","","","","","",""
"CAME5","","Carex mendocinensis","USA (CA, OR)","Monocot","Graminoid","","","","","","",""
"CAME12","","Carex merritt-fernaldii","USA (CT, MA, ME, MI, MN, NH, NY, OH, RI, VT, WI), CAN (MB, NB, ON, QC)","Monocot","Graminoid","","","","","","",""
"CAME6","","Carex mertensii","USA (AK, CA, ID, MT, OR, WA), CAN (AB, BC)","Monocot","Graminoid","Photo","Yes","Purple","Green","Medium","Brown","Erect"
"CAME13","","Carex mesochorea","USA (AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MO, NC, NE, NJ, NY, OH, PA, SC, TN, TX, VA, WI, WV), CAN (ON, QC)","Monocot","Graminoid","","","","","","",""
"CAME14","","Carex meyenii","USA (HI)","Monocot","Graminoid","","","","","","",""
"CAMI15","","Carex michauxiana","USA (MA, MD, ME, MI, MN, NH, NY, PA, VT, WI), CAN (LB, MB, NB, NF, NS, ON, QC, SK), FRA (SPM)","Monocot","Graminoid","","","","","","",""
"CAMI4","","Carex microchaeta","USA (AK), CAN (BC, NT, YT)","Monocot","Graminoid","","","","","","",""
"CAMIM","","Carex microchaeta ssp. microchaeta","USA (AK), CAN (BC, NT, YT)","Monocot","Graminoid","","","","","","",""
"CAMIN","","Carex microchaeta ssp. nesophila","USA (AK)","Monocot","Graminoid","","","","","","",""
"CAMI5","","Carex microdonta","USA (AL, AR, AZ, FL, KS, LA, MO, MS, OK, TN, TX)","Monocot","Graminoid","","","","","","",""
"CAMI6","","Carex microglochin","USA (AK, CO, ME, MT, NM, UT, WY), CAN (AB, BC, LB, MB, NF, NT, NU, ON, QC, YT), DEN (GL)","Monocot","Graminoid","Photo","","","","","",""
"CAMI7","","Carex microptera","USA (AZ, CA, CO, ID, MT, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC, MB, NT, SK, YT)","Monocot","Graminoid","Photo","Yes","Green","Green","Fine","Brown","Erect"
"CAMI8","","Carex microrhyncha","USA (AR, KS, MO, OK, TX)","Monocot","Graminoid","","","","","","",""
"CAMI10","","Carex misandra","USA (AK, CO, ID, MT, UT, WY), CAN (AB, BC, LB, MB, NT, NU, ON, QC, YT), DEN (GL)","Monocot","Graminoid","","","","","","",""
"CAMI17","","Carex misera","USA (GA, NC, TN)","Monocot","Graminoid","","","","","","",""
"CAMI50","","Carex missouriensis","USA (IA, IL, IN, KS, MO, NE)","Monocot","Graminoid","","","","","","",""
"CAMI18","","Carex mitchelliana","USA (AL, DE, FL, GA, MA, MD, MS, NC, NJ, NY, PA, RI, SC, TN, VA)","Monocot","Graminoid","","","","","","",""
"CAMO11","","Carex molesta","USA (AL, AR, CA, CO, CT, DC, DE, FL, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, ND, NE, NJ, NY, OH, PA, SD, TN, VA, VT, WI, WV), CAN (ON, QC)","Monocot","Graminoid","Photo","Yes","Green","Green","Fine","Brown","Erect"
"CAMO35","","Carex molestiformis","USA (AR, KY, MO, OK)","Monocot","Graminoid","","","","","","",""
"CAMO12","","Carex montis-eeka","USA (HI)","Monocot","Graminoid","","","","","","",""
"CAMU4","","Carex muehlenbergii","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (ON, QC)","Monocot","Graminoid","","","","","","",""
"CAMUE","","Carex muehlenbergii var. enervis","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI), CAN (ON)","Monocot","Graminoid","","","","","","",""
"CAMUM","","Carex muehlenbergii var. muehlenbergii","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (ON, QC)","Monocot","Graminoid","","","","","","",""
"CAMU5","","Carex multicaulis","USA (CA, NV, OR)","Monocot","Graminoid","Photo","","","","","",""
"CAMU6","","Carex multicostata","USA (CA, ID, MT, NV, OR, UT, WA)","Monocot","Graminoid","Photo","","","","","",""
"CAMU7","","Carex muricata","USA (MD, MI, NY, PA), CAN (NB, ON)","Monocot","Graminoid","","","","","","",""
"CAMU8","","Carex muriculata","USA (NM, TX)","Monocot","Graminoid","","","","","","",""
"CAMU9","","Carex muskingumensis","USA (AR, IA, IL, IN, KS, KY, MI, MN, MO, OH, OK, TN, WI), CAN (ON)","Monocot","Graminoid","Photo","Yes","Green","Green","Fine","Brown","Erect"
"CANA2","","Carex nardina","USA (AK, CO, ID, MT, NV, OR, UT, WA, WY), CAN (AB, BC, LB, MB, NT, NU, ON, QC, YT), DEN (GL)","Monocot","Graminoid","Photo","","","","","",""
"CANAH","","Carex nardina var. hepburnii","USA (AK, CO, ID, MT, NV, OR, UT, WA, WY), CAN (AB, BC, LB, MB, NT, NU, ON, QC, YT), DEN (GL)","Monocot","Graminoid","","","","","","",""
"CANE2","","Carex nebrascensis","USA (AZ, CA, CO, ID, IL, KS, MO, MT, ND, NE, NM, NV, OR, PA, SD, UT, WA, WI, WY), CAN (AB, SK)","Monocot","Graminoid","Photo","Yes","Green","Gray-Green","Medium","Brown","Erect"
"CANE3","","Carex nelsonii","USA (CO, MT, NM, UT, WY)","Monocot","Graminoid","Photo","","","","","",""
"CANE5","","Carex nervina","USA (CA, NV, OR)","Monocot","Graminoid","Photo","","","","","",""
"CANE6","","Carex neurophora","USA (CA, CO, ID, MT, NV, OR, UT, WA, WY)","Monocot","Graminoid","Photo","","","","","",""
"CANI5","","Carex nigra","USA (CT, MA, ME, MI, NH, NY, RI, VT, WI), CAN (BC, LB, NB, NF, NS, PE, QC), DEN (GL), FRA (SPM)","Monocot","Graminoid","","","","","","",""
"CANI2","","Carex nigricans","USA (AK, CA, CO, ID, MT, NV, OR, UT, WA, WY), CAN (AB, BC, YT)","Monocot","Graminoid","Photo","","","","","",""
"CANI3","","Carex nigromarginata","USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV), CAN (ON)","Monocot","Graminoid","","","","","","",""
"CANO","","Carex normalis","USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV), CAN (ON, QC)","Monocot","Graminoid","","Yes","Green","Green","Coarse","Brown","Erect"
"CANO2","","Carex norvegica","USA (AK, CA, CO, IA, ID, ME, MI, MN, MT, NM, NV, OR, SD, UT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NT, NU, ON, QC, SK, YT), DEN (GL)","Monocot","Graminoid","Photo","","","","","",""
"CANOI","","Carex norvegica ssp. inferalpina","USA (AK, CA, IA, ID, ME, MI, MN, MT, NV, OR, SD, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NT, NU, ON, QC, SK, YT)","Monocot","Graminoid","","","","","","",""
"CANON2","","Carex norvegica ssp. norvegica","USA (MT), CAN (LB, MB, NF, NU, ON, QC), DEN (GL)","Monocot","Graminoid","","","","","","",""
"CANOS","","Carex norvegica ssp. stevenii","USA (CO, MT, NM, UT, WY)","Monocot","Graminoid","","","","","","",""
"CANO3","","Carex nova","USA (CO, ID, MT, NM, NV, OR, UT, WY)","Monocot","Graminoid","Photo","","","","","",""
"CANO4","","Carex novae-angliae","USA (CT, MA, ME, MI, NH, NY, PA, VT, WI, WV), CAN (NB, NF, NS, ON, QC), FRA (SPM)","Monocot","Graminoid","","","","","","",""
"CANU5","","Carex nudata","USA (CA, OR, WA)","Monocot","Graminoid","Photo","","","","","",""
"CAOB2","","Carex obispoensis","USA (CA)","Monocot","Graminoid","Photo","","","","","",""
"CAOB3","","Carex obnupta","USA (CA, OR, WA), CAN (BC)","Monocot","Graminoid","","Yes","Yellow","Green","Coarse","Brown","Erect"
"CAOB4","","Carex obtusata","USA (AK, CO, MN, MT, ND, NM, SD, UT, WA, WY), CAN (AB, BC, MB, NT, ON, SK, YT)","Monocot","Graminoid","Photo","","","","","",""
"CAOC2","","Carex occidentalis","USA (AZ, CA, CO, ID, MT, NM, NV, SD, TX, UT, WY)","Monocot","Graminoid","Photo","","","","","",""
"CAOK","","Carex oklahomensis","USA (AR, DE, IN, KS, KY, MD, MO, MS, NC, OK, TN, TX, VA)","Monocot","Graminoid","","","","","","",""
"CAOL2","","Carex oligocarpa","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, TX, VA, VT, WI, WV), CAN (ON, QC)","Monocot","Graminoid","","","","","","",""
"CAOL3","","Carex oligosperma","USA (CT, IL, IN, MA, ME, MI, MN, NC, NH, NY, OH, PA, RI, VT, WI, WV), CAN (AB, LB, MB, NB, NF, NS, NT, ON, QC, SK, YT), FRA (SPM)","Monocot","Graminoid","","","","","","",""
"CAOLO3","","Carex oligosperma var. oligosperma","USA (CT, IL, IN, MA, ME, MI, MN, NC, NH, NY, OH, PA, RI, VT, WI, WV), CAN (AB, LB, MB, NB, NF, NS, NT, ON, QC, SK, YT), FRA (SPM)","Monocot","Graminoid","","","","","","",""
"CAOL4","","Carex ×olneyi","USA (CT, MA, RI)","Monocot","Graminoid","","","","","","",""
"CAON","","Carex ×oneillii","USA (AK)","Monocot","Graminoid","","","","","","",""
"CAON2","","Carex onusta","USA (OK, TX)","Monocot","Graminoid","","","","","","",""
"CAOP5","","Carex opaca","USA (AR, IL, KS, MO, MS, OK)","Monocot","Graminoid","","","","","","",""
"CAOR","","Carex oreocharis","USA (AZ, CO, NM, WY)","Monocot","Graminoid","","","","","","",""
"CAOR23","","Carex orestera","USA (CA)","Monocot","Graminoid","","","","","","",""
"CAOR5","","Carex ormostachya","USA (CT, MA, ME, MI, MN, NH, NY, PA, VA, VT, WI), CAN (NB, NS, ON, QC)","Monocot","Graminoid","","","","","","",""
"CAOR6","","Carex oronensis","USA (ME)","Monocot","Graminoid","","","","","","",""
"CAOU","","Carex ouachitana","USA (AR, KY, OK, TN)","Monocot","Graminoid","","","","","","",""
"CAOV8","","Carex ovalis","USA (CA, MA, ME, NC, NH, NY, OR, PA, TN, VT, WA, WI), CAN (BC, NB, NF, NS, PE, QC), FRA (SPM)","Monocot","Graminoid","","","","","","",""
"CAOX","","Carex oxylepis","USA (AL, AR, FL, GA, IL, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA)","Monocot","Graminoid","","","","","","",""
"CAOXO","","Carex oxylepis var. oxylepis","USA (AL, AR, FL, GA, IL, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA)","Monocot","Graminoid","","","","","","",""
"CAOXP","","Carex oxylepis var. pubescens","USA (AR, IL, KY, TN)","Monocot","Graminoid","","","","","","",""
"CAOZ2","","Carex ozarkana","USA (AR, LA, OK, TX)","Monocot","Graminoid","","","","","","",""
"CAPA14","","Carex pachystachya","USA (AK, CA, CO, ID, MT, NV, OR, UT, WA, WY), CAN (AB, BC, SK, YT)","Monocot","Graminoid","Photo","Yes","Red","Green","Coarse","Brown","Erect"
"CAPA27","","Carex paeninsulae","USA (FL)","Monocot","Graminoid","","","","","","",""
"CAPA29","","Carex paleacea","USA (MA, ME, NH), CAN (LB, MB, NB, NF, NS, NT, ON, PE, QC), FRA (SPM)","Monocot","Graminoid","","","","","","",""
"CAPA17","","Carex pallescens","USA (CT, DC, IL, IN, MA, MD, ME, MI, MN, MT, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WA, WI), CAN (BC, LB, NB, NF, NS, ON, QC), FRA (SPM)","Monocot","Graminoid","","","","","","",""
"CAPA49","","Carex ×paludivagans","USA (AK)","Monocot","Graminoid","","","","","","",""
"CAPA30","","Carex panicea","USA (CT, MA, ME, NH, NJ, NY, RI), CAN (LB, NB, NF, NS), DEN (GL), FRA (SPM)","Monocot","Graminoid","","","","","","",""
"CAPA16","","Carex pansa","USA (CA, OR, WA), CAN (BC)","Monocot","Graminoid","","","","","","",""
"CAPA18","","Carex parryana","USA (AK, CO, ID, MN, MT, ND, NV, UT, WY), CAN (AB, BC, MB, ON, SK, YT)","Monocot","Graminoid","Photo","","","","","",""
"CAPAB","","Carex parryana var. brevisquama","USA (ID, UT)","Monocot","Graminoid","","","","","","",""
"CAPAP3","","Carex parryana var. parryana","USA (AK, CO, ID, MN, MT, ND, NV, UT, WY), CAN (AB, BC, MB, ON, SK, YT)","Monocot","Graminoid","","","","","","",""
"CAPA19","","Carex pauciflora","USA (AK, CT, IN, MA, ME, MI, MN, MT, NH, NY, PA, VT, WA, WI, WV), CAN (AB, BC, LB, MB, NB, NF, NS, ON, QC, SK, YT), FRA (SPM)","Monocot","Graminoid","","","","","","",""
"CAPA31","","Carex paysonis","USA (ID, MT, NV, OR, UT, WA, WY), CAN (AB, BC, YT)","Monocot","Graminoid","Photo","","","","","",""
"CAPE11","","Carex peckii","USA (AK, CO, IA, IN, MA, ME, MI, MN, ND, NE, NH, NJ, NY, OH, PA, SD, VA, VT, WI, WY), CAN (AB, BC, MB, NB, NS, NT, ON, QC, SK, YT)","Monocot","Graminoid","","","","","","",""
"CAPE4","","Carex pedunculata","USA (AL, CT, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, NC, ND, NH, NJ, NY, OH, PA, RI, SC, SD, TN, VA, VT, WI, WV), CAN (AB, BC, MB, NB, NF, NS, ON, QC, SK), FRA (SPM)","Monocot","Graminoid","","","","","","",""
"CAPE42","","Carex pellita","USA (AR, AZ, CA, CO, CT, DC, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, ON, QC, SK, YT), FRA (SPM)","Monocot","Graminoid","","","","","","",""
"CAPE5","","Carex pelocarpa","USA (CO, ID, MT, NV, OR, UT, WY)","Monocot","Graminoid","","","","","","",""
"CAPE45","","Carex pendula","USA (CA, VA, WA)","Monocot","Graminoid","","","","","","",""
"CAPE6","","Carex pensylvanica","USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, PA, RI, SC, SD, TN, VA, VT, WI, WV), CAN (MB, ON, QC)","Monocot","Graminoid","","","","","","",""
"CAPE40","","Carex perdentata","USA (OK, TX)","Monocot","Graminoid","","","","","","",""
"CAPE12","","Carex perglobosa","USA (CO, UT)","Monocot","Graminoid","Photo","","","","","",""
"CAPE7","","Carex petasata","USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC, NT, SK, YT)","Monocot","Graminoid","Photo","","","","","",""
"CAPE8","","Carex petricosa","USA (AK, MT), CAN (AB, BC, LB, NF, NT, QC, YT)","Monocot","Graminoid","","","","","","",""
"CAPEP","","Carex petricosa var. petricosa","USA (AK, MT), CAN (AB, BC, NT, YT)","Monocot","Graminoid","","","","","","",""
"CAPH2","","Carex phaeocephala","USA (AK, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC, YT)","Monocot","Graminoid","Photo","","","","","",""
"CAPH3","","Carex ×physocarpoides","USA (AK, CO, ID, MT, NV, OR, UT, WA, WY), CAN (BC, LB, QC, SK, YT)","Monocot","Graminoid","","","","","","",""
"CAPI5","","Carex picta","USA (AL, GA, IN, KY, LA, MS, TN)","Monocot","Graminoid","","","","","","",""
"CAPI21","","Carex pigra","USA (AL, FL, GA, MS, NC, SC, TN, VA)","Monocot","Graminoid","","","","","","",""
"CAPI6","","Carex piperi","USA (ID, OR, WA)","Monocot","Graminoid","","","","","","",""
"CAPI7","","Carex pityophila","USA (CO, NM, UT)","Monocot","Graminoid","","","","","","",""
"CAPL18","","Carex planispicata","USA (AL, AR, DC, DE, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, OH, OK, PA, SC, TN, TX, VA, WV)","Monocot","Graminoid","","","","","","",""
"CAPL3","","Carex planostachys","USA (AR, AZ, NM, OK, TX)","Monocot","Graminoid","","","","","","",""
"CAPL4","","Carex plantaginea","USA (AL, CT, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, SC, TN, VA, VT, WI, WV), CAN (NB, NS, ON, QC)","Monocot","Graminoid","","","","","","",""
"CAPL8","","Carex platylepis","USA (ID, MT, WY)","Monocot","Graminoid","","","","","","",""
"CAPL5","","Carex platyphylla","USA (AL, CT, DC, GA, IL, IN, KY, MA, MD, ME, MI, MO, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV), CAN (NB, ON, QC)","Monocot","Graminoid","","","","","","",""
"CAPL6","","Carex pluriflora","USA (AK, OR, WA), CAN (BC)","Monocot","Graminoid","","","","","","",""
"CAPO","","Carex podocarpa","USA (AK, ID, MT, NV, WY), CAN (AB, BC, NT, NU, YT)","Monocot","Graminoid","","","","","","",""
"CAPO4","","Carex polymorpha","USA (CT, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VA, WV)","Monocot","Graminoid","Photo","Yes","Green","Dark Green","Coarse","Brown","Erect"
"CAPR22","","Carex praeceptorum","USA (CA, CO, ID, MT, NV, OR, UT, WA, WY), CAN (BC)","Monocot","Graminoid","","","","","","",""
"CAPR5","","Carex praegracilis","USA (AK, AZ, CA, CO, IA, ID, IL, IN, KS, KY, ME, MI, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, OR, PA, SD, UT, VA, VT, WA, WI, WY), CAN (AB, BC, MB, ON, QC, SK, YT)","Monocot","Graminoid","Photo","Yes","Green","Green","Medium","Brown","Erect"
"CAPR6","","Carex prairea","USA (CT, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NE, NJ, NY, OH, PA, SD, VA, VT, WI, WV, WY), CAN (AB, BC, MB, NB, NS, NT, ON, QC, SK, YT)","Monocot","Graminoid","","","","","","",""
"CAPR12","","Carex prasina","USA (AL, AR, CT, DC, DE, GA, IL, IN, KY, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV), CAN (ON, QC)","Monocot","Graminoid","Photo","Yes","Green","Green","Medium","Brown","Semi-Erect"
"CAPR7","","Carex praticola","USA (AK, CA, CO, ID, IL, ME, MI, MN, MT, ND, NM, OR, SD, UT, WA, WY), CAN (AB, BC, LB, MB, NF, NS, NT, NU, ON, QC, SK, YT), DEN (GL)","Monocot","Graminoid","Photo","","","","","",""
"CAPR8","","Carex preslii","USA (AK, CA, ID, MT, NV, OR, WA, WY), CAN (AB, BC, YT)","Monocot","Graminoid","","","","","","",""
"CAPR9","","Carex projecta","USA (CT, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, SC, TN, VA, VT, WA, WI, WV), CAN (LB, MB, NB, NF, NS, ON, PE, QC, SK)","Monocot","Graminoid","","Yes","Green","Green","Fine","Brown","Erect"
"CAPR10","","Carex proposita","USA (CA, ID, WA, WY)","Monocot","Graminoid","Photo","","","","","",""
"CAPS","","Carex pseudocyperus","USA (CT, IN, MA, ME, MI, MN, ND, NH, NJ, NY, OH, PA, RI, TX, VT, WI), CAN (AB, MB, NB, NF, NS, ON, PE, QC, SK)","Monocot","Graminoid","","","","","","",""
